"","count","geneset","methods"
"125",0,"GS-10-0.2-","SCSE7"
"126",0,"GS-10-0.2-","AddModuleScore7"
"127",0,"GS-10-0.2-","ssGSEA8"
"128",9,"GS-10-0.2-","JASMINE8"
"129",10,"GS-10-0.2-","AUCell8"
"130",0,"GS-10-0.2-","UCell8"
"131",2,"GS-10-0.2-","scPS8"
"132",3,"GS-10-0.2-","SCSE8"
"133",3,"GS-10-0.2-","AddModuleScore8"
"134",0,"GS-10-0.2-","ssGSEA9"
"135",9,"GS-10-0.2-","JASMINE9"
"136",13,"GS-10-0.2-","AUCell9"
"137",0,"GS-10-0.2-","UCell9"
"138",10,"GS-10-0.2-","scPS9"
"139",3,"GS-10-0.2-","SCSE9"
"140",7,"GS-10-0.2-","AddModuleScore9"
"141",0,"GS-10-0.5-","ssGSEA"
"142",2,"GS-10-0.5-","JASMINE"
"143",5,"GS-10-0.5-","AUCell"
"144",0,"GS-10-0.5-","UCell"
"145",0,"GS-10-0.5-","scPS"
"146",1,"GS-10-0.5-","SCSE"
"147",1,"GS-10-0.5-","AddModuleScore"
"148",0,"GS-10-0.5-","ssGSEA1"
"149",3,"GS-10-0.5-","JASMINE1"
"150",11,"GS-10-0.5-","AUCell1"
"151",0,"GS-10-0.5-","UCell1"
"152",7,"GS-10-0.5-","scPS1"
"153",3,"GS-10-0.5-","SCSE1"
"154",6,"GS-10-0.5-","AddModuleScore1"
"155",0,"GS-10-0.5-","ssGSEA2"
"156",5,"GS-10-0.5-","JASMINE2"
"157",6,"GS-10-0.5-","AUCell2"
"158",0,"GS-10-0.5-","UCell2"
"159",0,"GS-10-0.5-","scPS2"
"160",2,"GS-10-0.5-","SCSE2"
"161",2,"GS-10-0.5-","AddModuleScore2"
"162",0,"GS-10-0.5-","ssGSEA3"
"163",2,"GS-10-0.5-","JASMINE3"
"164",5,"GS-10-0.5-","AUCell3"
"165",0,"GS-10-0.5-","UCell3"
"166",0,"GS-10-0.5-","scPS3"
"167",1,"GS-10-0.5-","SCSE3"
"168",1,"GS-10-0.5-","AddModuleScore3"
"169",0,"GS-10-0.5-","ssGSEA4"
"170",6,"GS-10-0.5-","JASMINE4"
"171",7,"GS-10-0.5-","AUCell4"
"172",0,"GS-10-0.5-","UCell4"
"173",5,"GS-10-0.5-","scPS4"
"174",3,"GS-10-0.5-","SCSE4"
"175",2,"GS-10-0.5-","AddModuleScore4"
"176",0,"GS-10-0.5-","ssGSEA5"
"177",6,"GS-10-0.5-","JASMINE5"
"178",5,"GS-10-0.5-","AUCell5"
"179",0,"GS-10-0.5-","UCell5"
"180",1,"GS-10-0.5-","scPS5"
"181",0,"GS-10-0.5-","SCSE5"
"182",1,"GS-10-0.5-","AddModuleScore5"
"183",0,"GS-10-0.5-","ssGSEA6"
"184",5,"GS-10-0.5-","JASMINE6"
"185",10,"GS-10-0.5-","AUCell6"
"186",4,"GS-10-0.5-","UCell6"
"187",5,"GS-10-0.5-","scPS6"
"188",2,"GS-10-0.5-","SCSE6"
"189",2,"GS-10-0.5-","AddModuleScore6"
"190",0,"GS-10-0.5-","ssGSEA7"
"191",3,"GS-10-0.5-","JASMINE7"
"192",5,"GS-10-0.5-","AUCell7"
"193",0,"GS-10-0.5-","UCell7"
"194",0,"GS-10-0.5-","scPS7"
"195",0,"GS-10-0.5-","SCSE7"
"196",0,"GS-10-0.5-","AddModuleScore7"
"197",0,"GS-10-0.5-","ssGSEA8"
"198",5,"GS-10-0.5-","JASMINE8"
"199",9,"GS-10-0.5-","AUCell8"
"200",0,"GS-10-0.5-","UCell8"
"201",0,"GS-10-0.5-","scPS8"
"202",0,"GS-10-0.5-","SCSE8"
"203",0,"GS-10-0.5-","AddModuleScore8"
"204",0,"GS-10-0.5-","ssGSEA9"
"205",1,"GS-10-0.5-","JASMINE9"
"206",6,"GS-10-0.5-","AUCell9"
"207",0,"GS-10-0.5-","UCell9"
"208",1,"GS-10-0.5-","scPS9"
"209",0,"GS-10-0.5-","SCSE9"
"210",1,"GS-10-0.5-","AddModuleScore9"
