"","count","geneset","methods"
"161",10,"GS-10-0.5-","AddModuleScore2"
"162",4,"GS-10-0.5-","ssGSEA3"
"163",46,"GS-10-0.5-","JASMINE3"
"164",56,"GS-10-0.5-","AUCell3"
"165",32,"GS-10-0.5-","UCell3"
"166",26,"GS-10-0.5-","scPS3"
"167",22,"GS-10-0.5-","SCSE3"
"168",18,"GS-10-0.5-","AddModuleScore3"
"169",1,"GS-10-0.5-","ssGSEA4"
"170",38,"GS-10-0.5-","JASMINE4"
"171",50,"GS-10-0.5-","AUCell4"
"172",31,"GS-10-0.5-","UCell4"
"173",26,"GS-10-0.5-","scPS4"
"174",24,"GS-10-0.5-","SCSE4"
"175",19,"GS-10-0.5-","AddModuleScore4"
"176",0,"GS-10-0.5-","ssGSEA5"
"177",29,"GS-10-0.5-","JASMINE5"
"178",42,"GS-10-0.5-","AUCell5"
"179",21,"GS-10-0.5-","UCell5"
"180",11,"GS-10-0.5-","scPS5"
"181",9,"GS-10-0.5-","SCSE5"
"182",8,"GS-10-0.5-","AddModuleScore5"
"183",0,"GS-10-0.5-","ssGSEA6"
"184",35,"GS-10-0.5-","JASMINE6"
"185",49,"GS-10-0.5-","AUCell6"
"186",23,"GS-10-0.5-","UCell6"
"187",16,"GS-10-0.5-","scPS6"
"188",10,"GS-10-0.5-","SCSE6"
"189",9,"GS-10-0.5-","AddModuleScore6"
"190",0,"GS-10-0.5-","ssGSEA7"
"191",38,"GS-10-0.5-","JASMINE7"
"192",41,"GS-10-0.5-","AUCell7"
"193",25,"GS-10-0.5-","UCell7"
"194",22,"GS-10-0.5-","scPS7"
"195",16,"GS-10-0.5-","SCSE7"
"196",13,"GS-10-0.5-","AddModuleScore7"
"197",2,"GS-10-0.5-","ssGSEA8"
"198",45,"GS-10-0.5-","JASMINE8"
"199",49,"GS-10-0.5-","AUCell8"
"200",35,"GS-10-0.5-","UCell8"
"201",30,"GS-10-0.5-","scPS8"
"202",24,"GS-10-0.5-","SCSE8"
"203",19,"GS-10-0.5-","AddModuleScore8"
"204",0,"GS-10-0.5-","ssGSEA9"
"205",34,"GS-10-0.5-","JASMINE9"
"206",51,"GS-10-0.5-","AUCell9"
"207",22,"GS-10-0.5-","UCell9"
"208",14,"GS-10-0.5-","scPS9"
"209",13,"GS-10-0.5-","SCSE9"
"210",11,"GS-10-0.5-","AddModuleScore9"
"211",0,"GS-10-0.8-","ssGSEA"
"212",16,"GS-10-0.8-","JASMINE"
"213",13,"GS-10-0.8-","AUCell"
"214",7,"GS-10-0.8-","UCell"
"215",7,"GS-10-0.8-","scPS"
"216",8,"GS-10-0.8-","SCSE"
"217",8,"GS-10-0.8-","AddModuleScore"
"218",2,"GS-10-0.8-","ssGSEA1"
