"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"SCSE2",100,98,96,84,31,100,100,99,91,59,100,100,99,92,58,100,100,100,95,60,100,100,100,89,62,100,100,100,97,80,100,100,100,98,85,100,100,100,100,89,100,100,100,100,93,100,100,100,100,88
"AddModuleScore2",100,99,94,91,51,100,100,99,93,56,100,100,95,91,55,100,100,96,96,49,100,100,96,83,57,100,100,93,73,75,100,100,90,80,82,100,100,80,73,80,100,100,81,75,83,100,100,76,71,80
"ssGSEA3",3,11,36,83,95,3,17,34,75,92,1,14,37,67,80,2,19,47,71,82,0,16,46,70,83,0,9,40,73,79,0,0,39,58,75,0,1,27,63,81,0,1,22,53,77,0,0,19,48,80
"JASMINE3",92,98,88,64,28,99,100,92,90,43,100,97,95,92,52,100,100,97,91,59,100,100,97,93,67,100,100,100,93,76,100,100,100,99,82,100,100,100,100,84,100,100,100,100,97,100,100,100,100,93
"AUCell3",100,98,97,86,50,100,99,97,88,85,100,100,95,95,74,100,100,95,95,72,100,100,94,90,74,100,100,100,91,83,100,100,100,92,90,100,100,100,95,90,100,100,100,95,87,100,100,100,99,92
"UCell3",28,26,26,38,24,45,32,32,36,36,56,45,31,28,46,70,47,39,34,48,85,64,41,39,52,99,73,34,43,73,100,80,34,47,93,100,91,24,49,90,100,90,27,47,100,100,96,39,53,100
"scPS3",2,8,12,14,25,1,8,24,31,30,4,9,26,37,51,1,12,19,43,47,0,15,30,45,60,0,14,43,67,83,1,17,55,85,99,0,14,64,96,96,0,20,72,98,100,0,26,65,99,100
"SCSE3",100,99,98,82,27,100,100,93,94,51,100,100,100,91,50,100,100,100,90,58,100,100,99,92,64,100,100,100,94,76,100,100,100,100,79,100,100,100,100,80,100,100,100,100,95,100,100,100,100,88
"AddModuleScore3",100,99,98,95,54,100,100,96,94,55,100,100,96,96,49,100,100,96,91,55,100,100,95,88,56,100,100,94,84,65,100,100,85,73,83,100,100,67,68,74,100,100,73,72,84,100,98,68,69,82
"ssGSEA4",30,45,71,93,91,46,54,69,81,82,61,73,75,77,88,67,82,81,78,82,81,69,60,75,87,95,87,64,68,82,100,81,72,74,79,100,89,62,74,82,100,91,73,64,83,100,96,75,64,75
