"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"SCSE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AddModuleScore1",0,2,3,2,0,0,3,2,0,3,6,10,10,2,0,2,21,11,5,1,9,40,28,3,1,11,92,65,4,0,22,100,96,19,1,30,100,100,32,1,46,100,100,36,2,79,100,100,42,2
"ssGSEA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE2",10,16,8,5,1,29,29,19,4,8,46,37,31,7,10,52,52,38,8,7,59,49,42,11,18,88,89,77,13,27,99,100,95,31,55,100,100,100,38,76,100,100,100,58,85,100,100,100,68,94
"AUCell2",5,3,3,1,2,6,3,2,1,1,11,6,5,1,0,9,10,3,1,2,12,8,5,1,2,23,16,8,5,6,64,41,16,2,12,86,72,28,5,14,100,95,42,4,30,100,100,64,7,31
"UCell2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS2",19,10,12,7,1,29,28,12,5,2,36,30,23,2,1,42,39,33,7,1,44,45,25,8,3,61,59,38,10,6,60,56,52,18,4,53,64,63,21,8,61,62,57,22,10,52,69,59,32,5
"SCSE2",13,8,12,6,1,17,17,8,3,2,34,26,17,3,2,37,31,19,2,2,41,26,15,6,3,81,65,32,5,9,100,96,64,8,15,100,99,80,10,20,100,100,96,13,36,100,100,98,13,45
"AddModuleScore2",3,2,3,5,4,5,8,6,1,1,2,14,11,3,1,5,18,13,2,1,4,13,11,4,0,6,62,42,4,1,21,98,80,12,0,37,100,98,19,2,55,100,100,27,1,86,100,100,30,3
"ssGSEA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
